(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.3465, 0.0350]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.9905, 1.1597]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.7691, 0.2253]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.1693, -0.2599]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.3752, 0.3770]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.1804, 0.8521]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.2730, 1.9983]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.2762, 0.2927]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.0447, 0.9550]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.7227, 0.6450]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.1203, 1.5923]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.9417, 0.5983]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.4493, -0.3145]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.0657, -0.0466]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.1388, 1.2577]. Recommendation = [0.0, -0.2387, 0.1795], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.6536, 1.0333]. Recommendation = [0.0, -0.2387, 0.1795], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.5283, 0.3270]. Recommendation = [0.0, -0.2387, 0.1795], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -1.1774, 1.1852]. Recommendation = [0.0, -0.2387, 0.1795], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -1.8460, 1.9745]. Recommendation = [0.0, -0.2387, 0.1795], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -1.1527, 0.6578]. Recommendation = [0.0, -0.2387, 0.1795], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.8090, 1.0614]. Recommendation = [0.0, -0.2387, 0.1795], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.2387, 0.1795]. Recommendation = [0.0, -0.2387, 0.1795], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.5949, 0.2462]. Recommendation = [0.0, 0.2036, -0.0575], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -1.0590, 1.8559]. Recommendation = [0.0, -0.4183, 0.1915], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.6820, 0.5220]. Recommendation = [0.0, -0.4183, 0.1915], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -1.6808, 1.1705]. Recommendation = [0.0, -0.4183, 0.1915], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.3110, 0.8652]. Recommendation = [0.0, -0.4183, 0.1915], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.3007, -0.6301]. Recommendation = [0.0, -0.4183, 0.1915], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.7878, 1.4736]. Recommendation = [0.0, -0.4183, 0.1915], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.1208, 0.4808]. Recommendation = [0.0, -0.4183, 0.1915], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.5262, 0.0644]. Recommendation = [0.0, -0.4183, 0.1915], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.7432, -0.9439]. Recommendation = [0.0, -0.4183, 0.1915], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.8167, 1.4958]. Recommendation = [0.0, -0.4183, 0.1915], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.4684, 1.9176]. Recommendation = [0.0, -0.4183, 0.1915], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.8463, 0.4034]. Recommendation = [0.0, -0.4183, 0.1915], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.5012, 0.5784]. Recommendation = [0.0, 0.2036, -0.0575], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.2740, 1.8059]. Recommendation = [0.0, 0.2036, -0.0575], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.2909, -0.1589]. Recommendation = [0.0, 0.2036, -0.0575], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.8159, 0.0255]. Recommendation = [0.0, 0.2036, -0.0575], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.1915, 0.6776]. Recommendation = [0.0, 0.2036, -0.0575], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.0741, 0.3757]. Recommendation = [0.0, 0.2036, -0.0575], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.4072, 0.8448]. Recommendation = [0.0, 0.2036, -0.0575], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.5576, 1.9387]. Recommendation = [0.0, 0.2036, -0.0575], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.4767, -0.1268]. Recommendation = [0.0, 0.2036, -0.0575], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.9288, 0.8620]. Recommendation = [0.0, -0.4183, 0.1915], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.4807, -0.3821]. Recommendation = [0.0, -0.4183, 0.1915], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.8861, 0.1013]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.0529, 1.0958]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.1388, 0.2197]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -1.2251, 1.4961]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.4183, 0.1915]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.2036, -0.0575]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5067.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.3432, 1.2737]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5068.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -1.0083, 0.9278]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5069.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.0218, -0.3916]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5070.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.2170, 1.5074]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5071.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.0609, 0.4364]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5072.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.8038, 0.4794]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5073.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.4304, 1.1169]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5074.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.6430, -0.1669]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5075.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.4093, 0.2514]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5076.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.7916, -0.1974]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5077.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.8586, 0.7887]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5078.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.3481, 1.6769]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5079.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -1.3886, 1.9316]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5080.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.1716, 0.9148]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5081.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.4013, -0.1893]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5082.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.5063, -0.5552]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5083.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.3393, -0.6591]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5084.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.0552, -0.6522]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5085.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.9814, 1.2084]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5086.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.2279, 0.5048]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5087.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -1.4621, 1.6895]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5088.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.6600, 1.7555]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5089.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -1.1612, 0.3634]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5090.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.0595, 0.3146]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5091.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.1917, 0.7159]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5092.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.6155, 0.4555]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5093.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.3784, 1.5401]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5094.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.1232, 0.2333]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5095.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.8676, 0.2572]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5096.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.5612, -0.2720]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5097.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.9184, 1.6280]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5098.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.7526, 0.9095]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5099.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -1.0247, 1.4637]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5100.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.5085, 0.0828]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5101.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -1.2722, 0.8773]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5102.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.0951, 1.7057]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5103.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.1585, 0.3454]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5104.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.4667, 0.1176]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5105.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.5127, 0.9724]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5106.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.0142, 1.3899]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5107.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.2467, -0.8606]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5108.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.7632, 1.7470]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5109.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.2558, 1.0756]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5110.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.0327, 0.2059]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5111.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.7997, 1.3093]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5112.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -1.6970, 0.5743]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5113.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -1.0198, 0.6697]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5114.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.3948, -0.3614]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5115.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -1.3813, 1.3418]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5116.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.1611, 0.8053]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5117.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.3069, 0.4590]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5118.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.9692, 0.4685]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5119.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.6588, 1.6174]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5120.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.1713, -0.6447]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5121.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.6840, -0.0754]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5122.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.4438, 0.5351]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5123.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.4991, -0.8246]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5124.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.9659, -0.2205]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5125.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.7940, 1.3244]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5126.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.5643, 1.5210]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5127.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.9928, 0.2870]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5128.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.1663, -0.8399]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5129.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.6127, -0.5053]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5130.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.8682, 0.6808]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5131.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.8527, 0.1475]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5132.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.5484, 0.6321]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5133.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.2072, 1.0059]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5134.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.0344, 0.4245]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5135.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.0744, -1.1048]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5136.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.0160, -0.2080]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5137.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -1.9349, 1.5609]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5138.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.5761, -0.3273]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5139.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.3282, 0.8172]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5140.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.4564, 1.2689]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5141.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.5220, 1.1947]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5142.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.1909, -0.4320]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5143.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -1.1099, 0.8352]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5144.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.1446, 0.6075]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5145.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.6412, 1.1015]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5146.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -1.0690, 0.5155]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5147.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.1560, 0.2963]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5148.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.6074, 0.5003]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5149.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.3738, -1.1864]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5150.00, Rho = 1.000
