(iter 5) [0.0, 0.0123, -0.7486] = 399.2580, sampling [0.0, -0.0200, -0.4190]. Recommendation = [0.0, 0.0123, -0.7486], Current Cost = 5000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.5409, 0.5462]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 58000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.1809, 0.4522]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 59000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.6036, 0.8072]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 60000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.7126, 0.7261]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 61000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -1.1697, 0.7404]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 62000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.8904, 1.0388]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 63000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, -0.5016, -0.3791]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 64000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.8332, 0.4153]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 65000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.7412, 0.1802]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 66000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.8937, 0.5701]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 67000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.7655, 0.6911]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 68000.00, Rho = -1.230
(iter 8) [0.0, 0.1281, 0.0316] = 455.5168, sampling [0.0, 0.9276, 0.8222]. Recommendation = [0.0, 0.1281, 0.0316], Current Cost = 69000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, 0.9087, 0.9626]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 70000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, 0.6469, 0.9113]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 71000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, 1.0651, 0.7138]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 72000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, 1.0118, 0.5186]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 73000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, 0.9383, 1.0454]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 74000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, 0.7977, 1.1540]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 75000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, 0.7027, 0.0745]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 76000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, 1.2054, 0.9723]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 77000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, 0.8180, 0.2405]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 78000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, -0.2773, -0.4566]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 79000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, -0.9162, 0.1665]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 80000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, -0.8270, 1.1994]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 81000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, -1.0364, 1.1736]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 82000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, -1.1075, 1.1773]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 83000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, -1.2761, 0.8906]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 84000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, -0.3534, 1.3004]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 85000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, 0.8877, 0.3770]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 86000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, -1.0883, 1.2402]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 87000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, -1.0961, 1.3975]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 88000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, -0.8496, 1.3708]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 89000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, -1.2273, 1.3911]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 90000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, -1.3550, 1.1182]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 91000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, -1.2024, 1.4439]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 92000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, -1.0764, 1.5980]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 93000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, -0.9344, 1.5163]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 94000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, 1.2194, 1.2865]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 95000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, 0.9821, 1.4590]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 96000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, 1.2656, 1.3824]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 97000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, 1.3985, 1.3307]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 98000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, 0.7059, 1.4156]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 99000.00, Rho = -1.230
(iter 69) [0.0, 0.9276, 0.8222] = 456.1486, sampling [0.0, -0.0485, 0.6235]. Recommendation = [0.0, 0.9276, 0.8222], Current Cost = 100000.00, Rho = -1.230
