(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.0152, 0.1272]. Recommendation = [0.0, -0.3975, 0.0982], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.8442, -0.3367]. Recommendation = [0.0, 0.1354, -0.0957], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.4052, 0.2972]. Recommendation = [0.0, 0.1354, -0.0957], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.5013, 0.1187]. Recommendation = [0.0, 0.1354, -0.0957], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.9071, 0.6629]. Recommendation = [0.0, 0.1354, -0.0957], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.6225, 0.4359]. Recommendation = [0.0, 0.1354, -0.0957], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.6665, 0.8574]. Recommendation = [0.0, 0.1354, -0.0957], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.0500, 0.4255]. Recommendation = [0.0, 0.1354, -0.0957], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.5235, 0.7190]. Recommendation = [0.0, 0.1354, -0.0957], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.1035, -0.1141]. Recommendation = [0.0, 0.1354, -0.0957], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.3740, -0.0355]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.4173, -0.2485]. Recommendation = [0.0, -0.3975, 0.0982], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.6043, 0.2848]. Recommendation = [0.0, -0.3975, 0.0982], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.0567, -0.3239]. Recommendation = [0.0, -0.3975, 0.0982], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.5832, 1.2772]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.9831, 0.9001]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.8295, 0.8547]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.2671, 0.4528]. Recommendation = [0.0, 0.8899, 0.8213], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.3975, 0.0982]. Recommendation = [0.0, 0.8899, 0.8213], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.3654, 0.5926]. Recommendation = [0.0, 0.8899, 0.8213], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.1304, 0.6865]. Recommendation = [0.0, 0.8899, 0.8213], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.6138, 0.3504]. Recommendation = [0.0, 0.8899, 0.8213], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.2226, 1.2604]. Recommendation = [0.0, 0.8899, 0.8213], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.0527, 0.3394]. Recommendation = [0.0, 0.8899, 0.8213], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.2359, -0.3299]. Recommendation = [0.0, 0.8899, 0.8213], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.7797, 1.0382]. Recommendation = [0.0, 0.8899, 0.8213], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.5112, 0.4714]. Recommendation = [0.0, 0.8899, 0.8213], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.5502, 0.0454]. Recommendation = [0.0, 0.8899, 0.8213], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.0165, 0.6947]. Recommendation = [0.0, 0.8899, 0.8213], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.6139, 0.1555]. Recommendation = [0.0, 0.8899, 0.8213], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.0743, 1.0261]. Recommendation = [0.0, 0.8899, 0.8213], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.3834, 0.0716]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.0138, 0.7272]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.0946, 0.9172]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.8899, 0.8213]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.5647, 0.3902]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.6429, 0.8140]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.8818, 0.4216]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.9827, 0.8855]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.0286, 0.5909]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.8096, 1.1720]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.0798, 1.0865]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.1356, 1.4712]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.0408, 1.3081]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.2746, 1.0902]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.8629, 1.9612]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.3846, 1.4548]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.1857, 0.7879]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.8020, 0.1517]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.7564, 1.3942]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.6323, 1.0537]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.1735, -0.3974]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.0373, -0.3090]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5067.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.1931, -0.6260]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5068.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.0829, 1.1537]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5069.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.9470, 1.4063]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5070.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.8399, 1.2448]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5071.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.1164, 1.2948]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5072.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.2498, 1.1011]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5073.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.7189, 1.9365]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5074.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.1153, 0.2714]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5075.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.3150, -0.0091]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5076.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.6363, 1.2668]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5077.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.0183, 0.9438]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5078.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.3483, 0.3952]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5079.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.5527, 0.9710]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5080.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.4774, -0.6453]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5081.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.2562, 1.5236]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5082.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.6623, 0.0794]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5083.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.1855, 0.6026]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5084.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.1453, 1.7167]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5085.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.2464, 1.2800]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5086.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.2788, 0.8738]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5087.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.3018, -0.2771]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5088.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.4579, 0.8659]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5089.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.4430, 1.8399]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5090.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.4588, 1.6355]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5091.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.2366, 1.7915]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5092.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.3809, 1.9309]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5093.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.1354, -0.0957]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5094.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.4387, -0.3453]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5095.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.2159, 1.4835]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5096.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.0402, 1.6244]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5097.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.0673, -0.5868]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5098.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.9281, 1.9982]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5099.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.5378, -0.2371]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5100.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.9588, 0.2508]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5101.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.6323, 0.2012]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5102.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.7461, 0.9635]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5103.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.6769, -0.0289]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5104.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.0531, 0.9092]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5105.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.4626, 0.7808]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5106.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.2465, 1.1226]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5107.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.3726, 1.3575]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5108.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.2594, 1.6736]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5109.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.3425, 1.5685]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5110.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.2927, 1.8217]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5111.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.1576, 0.4946]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5112.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.1667, 0.4880]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5113.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.0012, 0.9202]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5114.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.6482, -0.4077]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5115.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.3186, 0.6486]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5116.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.8477, 1.3016]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5117.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.6987, 1.1419]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5118.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.8184, -0.0999]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5119.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.1643, 0.9292]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5120.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.2804, 1.6884]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5121.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.5953, -0.1315]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5122.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.2574, 0.5073]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5123.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.0687, 1.7649]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5124.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.3046, 1.9707]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5125.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.8129, 1.1800]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5126.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.0737, 0.3060]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5127.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.7848, 0.1884]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5128.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.0298, -0.6676]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5129.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.1414, 0.2880]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5130.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.4128, 1.9058]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5131.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.7795, -0.1487]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5132.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.4210, -0.5174]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5133.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.9715, 0.0245]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5134.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.4274, 1.5166]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5135.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.1817, -0.7010]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5136.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.2975, 1.0713]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5137.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.1542, 0.5244]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5138.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.4865, 1.2007]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5139.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.5461, 1.8763]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5140.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.5798, 1.7586]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5141.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.4832, 1.8806]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5142.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.0104, 0.5542]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5143.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -1.4333, 0.9546]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5144.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.3574, -0.6746]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5145.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.0824, -0.8587]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5146.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.4693, 1.4402]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5147.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 1.5215, 1.1959]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5148.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, 0.4498, 1.0463]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5149.00, Rho = 1.000
(iter 10) [0.0, -0.5768, -0.0564] = 438.6791, sampling [1.0, -0.7499, 1.2102]. Recommendation = [0.0, 0.6225, 0.4359], Current Cost = 5150.00, Rho = 1.000
