(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.0081, 0.4063]. Recommendation = [0.0, 0.0055, 0.0896], Current Cost = 5005.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.4148, 0.0843]. Recommendation = [0.0, 0.6455, 0.3003], Current Cost = 5022.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.9580, 1.2417]. Recommendation = [0.0, 0.6455, 0.3003], Current Cost = 5023.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.1975, 1.0972]. Recommendation = [0.0, 0.6455, 0.3003], Current Cost = 5024.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.7384, 0.2131]. Recommendation = [0.0, 0.6455, 0.3003], Current Cost = 5025.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.4964, 0.1084]. Recommendation = [0.0, 0.6455, 0.3003], Current Cost = 5026.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.6874, 0.3985]. Recommendation = [0.0, 0.6455, 0.3003], Current Cost = 5027.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.5408, 0.3382]. Recommendation = [0.0, 0.6874, 0.3985], Current Cost = 5028.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.3925, 0.6126]. Recommendation = [0.0, 0.6874, 0.3985], Current Cost = 5029.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.6311, 0.5531]. Recommendation = [0.0, 0.6874, 0.3985], Current Cost = 5030.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.1745, 0.1158]. Recommendation = [0.0, 0.6874, 0.3985], Current Cost = 5031.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.9268, 0.6310]. Recommendation = [0.0, 0.6874, 0.3985], Current Cost = 5032.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.6496, 0.5274]. Recommendation = [0.0, 0.6874, 0.3985], Current Cost = 5033.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.8045, 0.3720]. Recommendation = [0.0, 0.6874, 0.3985], Current Cost = 5034.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.1343, 0.2306]. Recommendation = [0.0, 0.6874, 0.3985], Current Cost = 5035.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.5100, 0.3270]. Recommendation = [0.0, 0.6874, 0.3985], Current Cost = 5036.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.9182, 0.9649]. Recommendation = [0.0, 0.6874, 0.3985], Current Cost = 5037.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.8756, 0.2701]. Recommendation = [0.0, 0.6874, 0.3985], Current Cost = 5038.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.4605, 0.5610]. Recommendation = [0.0, 0.6874, 0.3985], Current Cost = 5039.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.0163, -0.2530]. Recommendation = [0.0, 0.6874, 0.3985], Current Cost = 5040.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.3180, -0.1172]. Recommendation = [0.0, 0.6874, 0.3985], Current Cost = 5041.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.7466, 0.5102]. Recommendation = [0.0, 0.6874, 0.3985], Current Cost = 5042.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.5638, -0.0029]. Recommendation = [0.0, 0.6874, 0.3985], Current Cost = 5043.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.9019, 0.6406]. Recommendation = [0.0, 0.6874, 0.3985], Current Cost = 5044.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.7538, 0.8494]. Recommendation = [0.0, 0.6874, 0.3985], Current Cost = 5045.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.8775, 0.7506]. Recommendation = [0.0, 0.6874, 0.3985], Current Cost = 5046.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.9324, 0.5440]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5047.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.5764, 0.9910]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5048.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.9615, 0.1533]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5049.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.3406, -0.1236]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5050.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.5312, 0.2220]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5051.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.9952, 1.5552]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5052.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.0880, 1.3024]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5053.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.8372, 1.0683]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5054.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.1773, 0.3897]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5055.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.1547, 0.2918]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5056.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.1794, 0.9454]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5057.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.6834, 0.2765]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5058.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.3074, -0.0227]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5059.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.5277, 0.6606]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5060.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.5464, 0.6210]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5061.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.0994, 0.7079]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5062.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.2959, 1.7573]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5063.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.1679, 1.1934]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5064.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.0573, 0.4485]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5065.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.5591, 0.7960]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5066.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.0256, 0.2537]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5067.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.7092, 0.1011]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5068.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.1889, 1.3254]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5069.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.3360, 0.4336]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5070.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.8558, 0.1250]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5071.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.1390, 1.4964]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5072.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.5400, 1.0826]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5073.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.5127, -0.2334]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5074.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.1660, -0.3759]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5075.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.8822, 1.0312]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5076.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -1.1362, 0.4407]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5077.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.3702, 0.2869]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5078.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.9081, 1.1634]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5079.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -1.0252, 1.1236]. Recommendation = [0.0, -0.8775, 0.7506], Current Cost = 5080.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -1.1583, 0.8785]. Recommendation = [0.0, -1.0252, 1.1236], Current Cost = 5081.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.8294, 1.2747]. Recommendation = [0.0, -1.0252, 1.1236], Current Cost = 5082.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -1.0543, 1.3601]. Recommendation = [0.0, -1.0252, 1.1236], Current Cost = 5083.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.9564, 1.3771]. Recommendation = [0.0, -1.0252, 1.1236], Current Cost = 5084.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -1.1068, 1.5670]. Recommendation = [0.0, -1.0252, 1.1236], Current Cost = 5085.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -1.3071, 1.4357]. Recommendation = [0.0, -1.0252, 1.1236], Current Cost = 5086.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -1.3388, 1.5421]. Recommendation = [0.0, -1.3071, 1.4357], Current Cost = 5087.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -1.2704, 1.8267]. Recommendation = [0.0, -1.3388, 1.5421], Current Cost = 5088.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -1.0850, 1.9859]. Recommendation = [0.0, -1.2704, 1.8267], Current Cost = 5089.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -1.4589, 1.6310]. Recommendation = [0.0, -1.2704, 1.8267], Current Cost = 5090.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -1.3978, 1.9980]. Recommendation = [0.0, -1.2704, 1.8267], Current Cost = 5091.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -1.6919, 1.9584]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5092.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -1.5691, 1.7006]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5093.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -1.2945, 1.2366]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5094.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.6716, 1.7983]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5095.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -1.5230, 1.4624]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5096.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -1.2001, 1.0187]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5097.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.5822, -0.2429]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5098.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.3056, 1.5961]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5099.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.3661, 1.8092]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5100.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.2207, 1.8455]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5101.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.5349, 1.9258]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5102.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.3969, 1.7278]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5103.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.2854, 1.9614]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5104.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.4473, 1.8782]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5105.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.1201, 1.6655]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5106.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.5586, 1.5449]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5107.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.9885, 1.8620]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5108.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -1.0210, 1.4055]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5109.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.8906, -0.1505]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5110.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.7471, -0.1996]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5111.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.8929, 1.3948]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5112.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.3410, -0.4557]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5113.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.4883, -0.2868]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5114.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.2593, -0.5150]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5115.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.3515, 1.5740]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5116.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.2366, 0.1622]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5117.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.0909, 0.6664]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5118.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.4757, 0.5304]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5119.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.0053, -0.6929]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5120.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -1.9575, 1.9466]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5121.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.8051, 0.9569]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5122.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.1934, -0.4072]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5123.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.5377, 1.2641]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5124.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.7019, 1.1286]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5125.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.2658, -0.6200]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5126.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.8644, 0.3476]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5127.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.4042, 1.4536]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5128.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.3253, -0.7689]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5129.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.5135, -0.4183]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5130.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.7936, 1.6363]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5131.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.2780, 0.4663]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5132.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.2357, 1.0558]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5133.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.8141, 1.2611]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5134.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.0278, 1.4888]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5135.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.8566, 0.0270]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5136.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -1.5801, -0.3422]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5137.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.6604, -0.2265]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5138.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.8221, 0.0712]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5139.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.2565, 0.8368]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5140.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -1.3842, 1.2238]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5141.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.3575, 0.9178]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5142.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.4673, -0.5784]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5143.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.2927, 0.6769]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5144.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.4503, -0.6268]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5145.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.7390, -0.3763]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5146.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.2900, 1.1362]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5147.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.0732, 0.2579]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5148.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.1562, -0.7875]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5149.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.0542, 1.7784]. Recommendation = [0.0, -1.3978, 1.9980], Current Cost = 5150.00, Rho = 0.773
