(iter 5) [0.0, -0.8518, 1.9131] = 311.8517, sampling [0.0, 0.6266, -1.1436]. Recommendation = [0.0, -0.8518, 1.9131], Current Cost = 5000.00, Rho = -1.230
(iter 12) [0.0, -1.1477, 1.3911] = 451.1423, sampling [0.0, -0.9485, 1.4287]. Recommendation = [0.0, -1.1477, 1.3911], Current Cost = 18000.00, Rho = -1.230
(iter 12) [0.0, -1.1477, 1.3911] = 451.1423, sampling [0.0, -0.8042, 1.0630]. Recommendation = [0.0, -1.1477, 1.3911], Current Cost = 19000.00, Rho = -1.230
(iter 12) [0.0, -1.1477, 1.3911] = 451.1423, sampling [0.0, -0.9320, 1.2534]. Recommendation = [0.0, -1.1477, 1.3911], Current Cost = 20000.00, Rho = -1.230
(iter 12) [0.0, -1.1477, 1.3911] = 451.1423, sampling [0.0, -1.0271, 0.8485]. Recommendation = [0.0, -1.1477, 1.3911], Current Cost = 21000.00, Rho = -1.230
(iter 12) [0.0, -1.1477, 1.3911] = 451.1423, sampling [0.0, -1.2940, 0.8749]. Recommendation = [0.0, -1.1477, 1.3911], Current Cost = 22000.00, Rho = -1.230
(iter 12) [0.0, -1.1477, 1.3911] = 451.1423, sampling [0.0, -0.6533, 1.3817]. Recommendation = [0.0, -1.1477, 1.3911], Current Cost = 23000.00, Rho = -1.230
(iter 12) [0.0, -1.1477, 1.3911] = 451.1423, sampling [0.0, -0.8139, 0.6418]. Recommendation = [0.0, -1.1477, 1.3911], Current Cost = 24000.00, Rho = -1.230
(iter 24) [0.0, -0.8139, 0.6418] = 452.9672, sampling [0.0, -0.5977, 0.7109]. Recommendation = [0.0, -0.8139, 0.6418], Current Cost = 25000.00, Rho = -1.230
(iter 24) [0.0, -0.8139, 0.6418] = 452.9672, sampling [0.0, -0.5395, 0.8149]. Recommendation = [0.0, -0.8139, 0.6418], Current Cost = 26000.00, Rho = -1.230
(iter 24) [0.0, -0.8139, 0.6418] = 452.9672, sampling [0.0, -0.5863, 0.4622]. Recommendation = [0.0, -0.8139, 0.6418], Current Cost = 27000.00, Rho = -1.230
(iter 24) [0.0, -0.8139, 0.6418] = 452.9672, sampling [0.0, -0.5836, 0.5555]. Recommendation = [0.0, -0.8139, 0.6418], Current Cost = 28000.00, Rho = -1.230
(iter 24) [0.0, -0.8139, 0.6418] = 452.9672, sampling [0.0, -0.7497, 0.4349]. Recommendation = [0.0, -0.8139, 0.6418], Current Cost = 29000.00, Rho = -1.230
(iter 24) [0.0, -0.8139, 0.6418] = 452.9672, sampling [0.0, -0.2784, 0.5698]. Recommendation = [0.0, -0.8139, 0.6418], Current Cost = 30000.00, Rho = -1.230
(iter 24) [0.0, -0.8139, 0.6418] = 452.9672, sampling [0.0, -0.4517, 0.5192]. Recommendation = [0.0, -0.8139, 0.6418], Current Cost = 31000.00, Rho = -1.230
(iter 24) [0.0, -0.8139, 0.6418] = 452.9672, sampling [0.0, -0.3194, 0.2425]. Recommendation = [0.0, -0.8139, 0.6418], Current Cost = 32000.00, Rho = -1.230
(iter 24) [0.0, -0.8139, 0.6418] = 452.9672, sampling [0.0, -0.4895, 0.3688]. Recommendation = [0.0, -0.8139, 0.6418], Current Cost = 33000.00, Rho = -1.230
(iter 24) [0.0, -0.8139, 0.6418] = 452.9672, sampling [0.0, -0.2442, 0.3961]. Recommendation = [0.0, -0.8139, 0.6418], Current Cost = 34000.00, Rho = -1.230
(iter 24) [0.0, -0.8139, 0.6418] = 452.9672, sampling [0.0, -0.5587, 0.1397]. Recommendation = [0.0, -0.8139, 0.6418], Current Cost = 35000.00, Rho = -1.230
(iter 24) [0.0, -0.8139, 0.6418] = 452.9672, sampling [0.0, -0.2086, 0.1163]. Recommendation = [0.0, -0.8139, 0.6418], Current Cost = 36000.00, Rho = -1.230
(iter 36) [0.0, -0.2086, 0.1163] = 454.3092, sampling [0.0, -0.2976, -0.2043]. Recommendation = [0.0, -0.2086, 0.1163], Current Cost = 37000.00, Rho = -1.230
(iter 36) [0.0, -0.2086, 0.1163] = 454.3092, sampling [0.0, 0.0107, -0.2093]. Recommendation = [0.0, -0.2086, 0.1163], Current Cost = 38000.00, Rho = -1.230
(iter 36) [0.0, -0.2086, 0.1163] = 454.3092, sampling [0.0, 0.0732, -0.0010]. Recommendation = [0.0, -0.2086, 0.1163], Current Cost = 39000.00, Rho = -1.230
(iter 39) [0.0, 0.0732, -0.0010] = 455.4370, sampling [0.0, -0.1100, 0.1540]. Recommendation = [0.0, 0.0732, -0.0010], Current Cost = 40000.00, Rho = -1.230
(iter 39) [0.0, 0.0732, -0.0010] = 455.4370, sampling [0.0, -0.0995, -0.4278]. Recommendation = [0.0, 0.0732, -0.0010], Current Cost = 41000.00, Rho = -1.230
(iter 39) [0.0, 0.0732, -0.0010] = 455.4370, sampling [0.0, 0.2446, -0.3801]. Recommendation = [0.0, 0.0732, -0.0010], Current Cost = 42000.00, Rho = -1.230
(iter 39) [0.0, 0.0732, -0.0010] = 455.4370, sampling [0.0, 0.0562, 0.3893]. Recommendation = [0.0, 0.0732, -0.0010], Current Cost = 43000.00, Rho = -1.230
(iter 39) [0.0, 0.0732, -0.0010] = 455.4370, sampling [0.0, -0.0903, 0.3473]. Recommendation = [0.0, 0.0732, -0.0010], Current Cost = 44000.00, Rho = -1.230
(iter 39) [0.0, 0.0732, -0.0010] = 455.4370, sampling [0.0, 0.2603, -0.0436]. Recommendation = [0.0, 0.0732, -0.0010], Current Cost = 45000.00, Rho = -1.230
(iter 39) [0.0, 0.0732, -0.0010] = 455.4370, sampling [0.0, 0.1118, -0.0726]. Recommendation = [0.0, 0.1118, -0.0726], Current Cost = 46000.00, Rho = -1.230
(iter 39) [0.0, 0.0732, -0.0010] = 455.4370, sampling [0.0, -0.5307, -0.1419]. Recommendation = [0.0, 0.0732, -0.0010], Current Cost = 47000.00, Rho = -1.230
(iter 39) [0.0, 0.0732, -0.0010] = 455.4370, sampling [0.0, -0.3993, -0.1455]. Recommendation = [0.0, 0.0732, -0.0010], Current Cost = 48000.00, Rho = -1.230
(iter 39) [0.0, 0.0732, -0.0010] = 455.4370, sampling [0.0, 0.1976, 0.2949]. Recommendation = [0.0, 0.0732, -0.0010], Current Cost = 49000.00, Rho = -1.230
(iter 39) [0.0, 0.0732, -0.0010] = 455.4370, sampling [0.0, -0.1895, 0.2526]. Recommendation = [0.0, 0.0732, -0.0010], Current Cost = 50000.00, Rho = -1.230
(iter 39) [0.0, 0.0732, -0.0010] = 455.4370, sampling [0.0, 0.3311, 0.0601]. Recommendation = [0.0, 0.0732, -0.0010], Current Cost = 51000.00, Rho = -1.230
(iter 51) [0.0, 0.3311, 0.0601] = 455.6077, sampling [0.0, -0.1439, 0.8395]. Recommendation = [0.0, 0.2320, -0.0144], Current Cost = 52000.00, Rho = -1.230
(iter 51) [0.0, 0.3311, 0.0601] = 455.6077, sampling [0.0, 0.4634, -0.1203]. Recommendation = [0.0, 0.2320, -0.0144], Current Cost = 53000.00, Rho = -1.230
(iter 51) [0.0, 0.3311, 0.0601] = 455.6077, sampling [0.0, 0.4366, -0.3408]. Recommendation = [0.0, 0.2320, -0.0144], Current Cost = 54000.00, Rho = -1.230
(iter 51) [0.0, 0.3311, 0.0601] = 455.6077, sampling [0.0, 0.1833, -0.6031]. Recommendation = [0.0, 0.2320, -0.0144], Current Cost = 55000.00, Rho = -1.230
(iter 51) [0.0, 0.3311, 0.0601] = 455.6077, sampling [0.0, -0.2836, -0.5501]. Recommendation = [0.0, 0.2320, -0.0144], Current Cost = 56000.00, Rho = -1.230
(iter 51) [0.0, 0.3311, 0.0601] = 455.6077, sampling [0.0, -0.6665, 0.1670]. Recommendation = [0.0, 0.2320, -0.0144], Current Cost = 57000.00, Rho = -1.230
(iter 51) [0.0, 0.3311, 0.0601] = 455.6077, sampling [0.0, 0.0015, -0.4170]. Recommendation = [0.0, 0.2320, -0.0144], Current Cost = 58000.00, Rho = -1.230
(iter 51) [0.0, 0.3311, 0.0601] = 455.6077, sampling [0.0, -0.3236, -0.3001]. Recommendation = [0.0, 0.2320, -0.0144], Current Cost = 59000.00, Rho = -1.230
(iter 51) [0.0, 0.3311, 0.0601] = 455.6077, sampling [0.0, 0.4045, 0.1708]. Recommendation = [0.0, 0.2320, -0.0144], Current Cost = 60000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.3709, 0.3259]. Recommendation = [0.0, 0.2320, -0.0144], Current Cost = 61000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.2558, 0.4288]. Recommendation = [0.0, 0.2320, -0.0144], Current Cost = 62000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.5166, 0.0501]. Recommendation = [0.0, 0.2320, -0.0144], Current Cost = 63000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, -0.4385, 0.6979]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 64000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, -0.5008, 1.0815]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 65000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.0642, -0.2187]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 66000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, -0.0839, -0.7520]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 67000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, -0.1812, -0.3886]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 68000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, -0.0120, -0.2654]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 69000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, -0.6185, -0.0631]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 70000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, -0.8165, 0.2069]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 71000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, -0.4701, -0.2735]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 72000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.5840, 0.2293]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 73000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.3588, 0.6253]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 74000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.1147, 0.8020]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 75000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.3437, 0.4489]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 76000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.5387, 0.5206]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 77000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.6774, 0.1469]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 78000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.7371, -0.0673]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 79000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.5796, 0.0213]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 80000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.6491, 0.2847]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 81000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.5117, -0.2375]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 82000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.2320, -0.0144]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 83000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, -1.0767, 1.7363]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 84000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.4507, 0.5829]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 85000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.4239, -0.5013]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 86000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, -0.1193, 0.4052]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 87000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, -0.4825, -0.5069]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 88000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, -1.4502, 1.1299]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 89000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, -0.2632, 0.6914]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 90000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.7829, 0.2757]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 91000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.7359, 0.2084]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 92000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.5676, 0.6572]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 93000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.4134, 0.9830]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 94000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.0173, 1.2036]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 95000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.7545, 0.1086]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 96000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.6709, 0.7165]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 97000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.8635, 0.4099]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 98000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.7516, -0.3727]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 99000.00, Rho = -1.230
(iter 60) [0.0, 0.4045, 0.1708] = 455.9403, sampling [0.0, 0.3009, -0.4596]. Recommendation = [0.0, 0.4045, 0.1708], Current Cost = 100000.00, Rho = -1.230
