(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.0306, 0.9265]. Recommendation = [0.0, 0.0698, 0.6183], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.0623, 0.4493]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.9102, 1.3905]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.3888, 0.0345]. Recommendation = [0.0, -0.2695, 0.2014], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.1823, 0.0811]. Recommendation = [0.0, -0.3243, 0.1920], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.2674, 1.7882]. Recommendation = [0.0, -0.3243, 0.1920], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.2978, 0.8906]. Recommendation = [0.0, -0.3243, 0.1920], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.3866, 0.3315]. Recommendation = [0.0, -0.3243, 0.1920], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.0176, 0.0632]. Recommendation = [0.0, -0.3243, 0.1920], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.0870, -0.0619]. Recommendation = [0.0, -0.3243, 0.1920], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.2737, -0.0845]. Recommendation = [0.0, -0.3243, 0.1920], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.5621, 0.1810]. Recommendation = [0.0, -0.3243, 0.1920], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.4006, -0.0100]. Recommendation = [0.0, -0.3243, 0.1920], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.8058, 0.6533]. Recommendation = [0.0, -0.3243, 0.1920], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.7384, 0.9532]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.6683, 0.8434]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.9080, 0.8238]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.8530, 0.5038]. Recommendation = [0.0, 0.7936, 0.8115], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.8387, 1.2648]. Recommendation = [0.0, 0.7936, 0.8115], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 1.0420, 0.9765]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 1.0619, 0.7116]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 1.2897, 1.2554]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 1.0297, 1.1247]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 1.2544, 0.9684]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 1.0090, 1.4603]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 1.1390, 1.3454]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 1.3905, 1.7613]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.9238, 1.8566]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5067.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 1.7288, 1.6049]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5068.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.8583, 0.9184]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5069.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.7936, 0.8115]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5070.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.6623, 1.3580]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5071.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 1.4218, 1.3788]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5072.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 1.3611, 1.9768]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5073.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.5419, -0.0224]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5074.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.7063, 0.1626]. Recommendation = [0.0, -0.3243, 0.1920], Current Cost = 5075.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.3404, -0.1239]. Recommendation = [0.0, -0.3243, 0.1920], Current Cost = 5076.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.1733, -0.1571]. Recommendation = [0.0, -0.2120, 0.0449], Current Cost = 5077.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.5114, 1.8778]. Recommendation = [0.0, -0.2120, 0.0449], Current Cost = 5078.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.0856, 1.4036]. Recommendation = [0.0, -0.2120, 0.0449], Current Cost = 5079.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.6109, 0.6904]. Recommendation = [0.0, -0.2120, 0.0449], Current Cost = 5080.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.2565, 1.5617]. Recommendation = [0.0, -0.2120, 0.0449], Current Cost = 5081.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.1100, -0.3024]. Recommendation = [0.0, -0.2120, 0.0449], Current Cost = 5082.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.3243, 0.1920]. Recommendation = [0.0, -0.2120, 0.0449], Current Cost = 5083.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.2120, 0.0449]. Recommendation = [0.0, -0.2120, 0.0449], Current Cost = 5084.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.6385, 0.9931]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5085.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.1788, 1.0928]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5086.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.8139, 1.9180]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5087.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.1132, 0.5702]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5088.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.4570, -0.0550]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5089.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 1.3787, 1.1160]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5090.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.4074, 1.8317]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5091.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 1.5588, 1.8656]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5092.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 1.3969, 1.9451]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5093.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.7062, 0.9474]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5094.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.4767, 1.7255]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5095.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.8205, 1.5207]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5096.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.7864, 0.0652]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5097.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.4551, -0.2630]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5098.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 1.1814, 0.5290]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5099.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.1483, 0.7241]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5100.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.7245, 1.1909]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5101.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.4202, 1.5798]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5102.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.2399, 0.5050]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5103.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.9964, 0.2174]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5104.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 1.0558, 0.9426]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5105.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.1984, -0.4191]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5106.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.3717, -0.2011]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5107.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.5823, -0.1297]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5108.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.0174, 0.1976]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5109.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.0428, -0.4810]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5110.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.1784, 1.2255]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5111.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.6983, -0.1909]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5112.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.1031, 0.7654]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5113.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.1131, 0.8047]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5114.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.6502, 1.1837]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5115.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 1.1972, 0.6787]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5116.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.6971, -0.1376]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5117.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.5142, -0.3852]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5118.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.2554, 1.9739]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5119.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.5982, 1.4517]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5120.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 1.6724, 1.9535]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5121.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 1.5061, 0.8606]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5122.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.1153, 0.5614]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5123.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.5593, 0.7471]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5124.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.8520, 1.4734]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5125.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.6728, 1.7395]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5126.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.0564, -0.5927]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5127.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.1226, -0.6544]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5128.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.4846, -0.6020]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5129.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.2947, 1.1688]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5130.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.1315, 0.9059]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5131.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.8821, 0.0903]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5132.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.1350, 0.5244]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5133.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.4312, 1.8503]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5134.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.1679, 0.7296]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5135.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.6590, -0.3998]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5136.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.9989, -0.0269]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5137.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.1933, -0.6824]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5138.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.8758, 1.6905]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5139.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 1.1224, 0.3615]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5140.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.8252, -0.1167]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5141.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.4738, -0.3125]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5142.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 1.4696, 1.2766]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5143.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -1.0424, 0.3102]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5144.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.6688, 1.0621]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5145.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.0404, 0.1371]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5146.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.3065, -0.8564]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5147.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, -0.0722, -0.7716]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5148.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.4118, -0.6932]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5149.00, Rho = 1.000
(iter 10) [0.0, -0.2695, 0.2014] = 453.0309, sampling [1.0, 0.7098, -0.2842]. Recommendation = [0.0, 0.8058, 0.6533], Current Cost = 5150.00, Rho = 1.000
