(iter 5) [0.0, 1.1016, 0.2009] = 353.7574, sampling [0.0, 0.9067, -0.1640]. Recommendation = [0.0, 1.1016, 0.2009], Current Cost = 5000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, 0.4726, 0.5425]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 48000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, 0.8569, 0.8137]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 49000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, 0.4990, 1.1293]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 50000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.0921, -0.5574]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 51000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.1974, 0.5260]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 52000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.0463, 0.5718]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 53000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, 0.2429, -0.1407]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 54000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, 0.9497, 0.8300]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 55000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.3238, -0.3926]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 56000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, 0.2257, 0.9959]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 57000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.5146, -0.1905]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 58000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.4841, 0.4133]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 59000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.6975, 0.1017]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 60000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.5931, -0.0742]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 61000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.4011, 0.7226]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 62000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.5760, 0.5944]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 63000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.7896, 0.3789]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 64000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.7811, 0.1866]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 65000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.2132, 0.8900]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 66000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.6450, 0.6872]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 67000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.5222, 0.7324]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 68000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.7637, 0.6603]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 69000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.8758, 0.5154]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 70000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.8676, 0.5811]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 71000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.5324, 0.9488]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 72000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.7065, 0.9014]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 73000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.9377, 0.2708]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 74000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.8892, 0.6490]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 75000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, 1.1997, 0.6100]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 76000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, 0.4152, 0.4926]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 77000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.0330, -0.8330]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 78000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, 0.4631, -0.4696]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 79000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.9060, 0.0079]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 80000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.3781, -0.5058]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 81000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.4152, 0.8445]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 82000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.2953, 1.3144]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 83000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, 0.7007, 1.1727]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 84000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, 0.4167, -0.6822]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 85000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.9219, 0.8827]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 86000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.9872, 0.6710]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 87000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, 1.0066, 1.2081]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 88000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, 1.1569, 1.1073]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 89000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, 1.2365, 1.0124]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 90000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, 0.7959, 1.4636]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 91000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, 0.4506, 1.4044]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 92000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.1615, -0.7163]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 93000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, 0.0203, -0.6295]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 94000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.8419, 0.1332]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 95000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.9030, 0.6248]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 96000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.0064, 0.7646]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 97000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -1.0058, 0.3478]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 98000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.6535, -0.4301]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 99000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, -0.6171, 1.2008]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 100000.00, Rho = -1.230
