(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.0395, 0.5807]. Recommendation = [0.0, -0.0395, 0.5807], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.0720, 1.5870]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.6171, 1.8482]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.5096, 1.4517]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.2458, 1.0873]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.1544, 1.7520]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.9574, 1.5764]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.1025, 0.9951]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.9368, 1.9651]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.2902, -0.3117]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.4082, 1.1105]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.6331, 1.1757]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.1153, 0.6554]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.2356, 1.1326]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.8578, 0.4740]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.4725, 0.0491]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.7723, -0.2923]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.1414, 1.3290]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.6618, 1.7367]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.9721, 0.1647]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5067.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.1483, 0.3247]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5068.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.5358, 0.7765]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5069.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.0243, -0.6023]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5070.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.6525, -0.2099]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5071.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 1.1579, -0.0329]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5072.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.6014, 1.9912]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5073.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.5045, 0.9724]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5074.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 1.2201, 0.6567]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5075.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.3369, -0.3939]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5076.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.2452, -0.5626]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5077.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.0765, 1.6757]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5078.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.5825, -0.8153]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5079.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.6754, -0.5060]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5080.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.6535, 1.6580]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5081.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.0983, 0.7571]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5082.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 1.9337, -0.8993]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5083.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.9086, 0.4018]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5084.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 1.2373, 0.9326]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5085.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.6970, 1.2222]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5086.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.8884, -0.1751]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5087.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.6519, 1.5127]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5088.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.9230, -0.2384]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5089.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.2193, 1.0540]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5090.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.2030, -0.7258]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5091.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.3959, -0.6593]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5092.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 1.2564, 0.7266]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5093.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.0895, 1.1510]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5094.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.5147, 1.2785]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5095.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.1234, 0.0685]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5096.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.1405, -1.0281]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5097.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.7400, -0.3649]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5098.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.2633, 1.5454]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5099.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 1.4359, 0.8256]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5100.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.4621, 1.8833]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5101.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.3950, 0.3641]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5102.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.2699, 1.5205]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5103.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.3082, 1.1943]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5104.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.4850, 1.4176]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5105.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.8387, -0.4825]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5106.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.6135, 1.4379]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5107.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.7569, 1.7688]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5108.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.5588, 1.4611]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5109.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 1.8376, 1.8142]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5110.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.2082, 1.2841]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5111.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.8913, 1.6218]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5112.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.1744, 0.2137]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5113.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.4362, -0.6782]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5114.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.1622, -1.1792]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5115.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.0999, -1.2031]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5116.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 1.3173, 0.6034]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5117.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.7206, -0.7733]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5118.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 1.4452, 0.3187]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5119.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.4124, -1.4208]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5120.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.3782, -1.1626]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5121.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.9340, -0.6340]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5122.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.0083, -1.5327]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5123.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.1862, -1.3261]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5124.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.3107, -0.1160]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5125.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 1.3818, 0.7440]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5126.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.5547, -1.0958]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5127.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.8238, -0.7852]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5128.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.6140, -1.2486]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5129.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.4572, 1.8671]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5130.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 1.7016, 1.3817]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5131.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.4765, 1.6970]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5132.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.1497, -1.4829]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5133.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 1.7360, 0.8698]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5134.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.1632, 1.6071]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5135.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 1.1018, -0.2719]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5136.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.2820, 0.1769]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5137.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.1171, 1.2017]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5138.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.7206, 0.6846]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5139.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.3502, -1.9815]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5140.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.3115, -1.2821]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5141.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.7091, -0.8483]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5142.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.1861, -1.7264]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5143.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.7501, 1.4807]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5144.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.3027, 1.8363]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5145.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.3356, 1.4915]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5146.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.0932, -1.6422]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5147.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.2556, -1.4891]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5148.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.4129, -1.2464]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5149.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.3781, -1.6918]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5150.00, Rho = 1.000
