(iter 20) MAPbBrBrI_MCR_0 = 10.2806, sampling MAPbBrBrBr_THTO_0. Recommendation = MAPbBrBrI_MCR_0, Current Cost = 70.00, Rho = 0.656
(iter 28) FAPbIII_THTO_0 = 11.2683, sampling MAPbIII_DMSO_0. Recommendation = FAPbIII_THTO_0, Current Cost = 148.00, Rho = 0.656
(iter 28) FAPbIII_THTO_0 = 11.2683, sampling MAPbIII_H2O_0. Recommendation = FAPbIII_THTO_0, Current Cost = 154.00, Rho = 0.656
(iter 28) FAPbIII_THTO_0 = 11.2683, sampling CsPbClII_THTO_0. Recommendation = FAPbIII_THTO_0, Current Cost = 160.00, Rho = 0.656
(iter 28) FAPbIII_THTO_0 = 11.2683, sampling FAPbIII_DMSO_0. Recommendation = FAPbIII_THTO_0, Current Cost = 166.00, Rho = 0.656
(iter 28) FAPbIII_THTO_0 = 11.2683, sampling FAPbIII_FAM_0. Recommendation = FAPbIII_THTO_0, Current Cost = 172.00, Rho = 0.656
(iter 28) FAPbIII_THTO_0 = 11.2683, sampling FAPbIII_CHCl3_0. Recommendation = FAPbIII_THTO_0, Current Cost = 178.00, Rho = 0.656
(iter 28) FAPbIII_THTO_0 = 11.2683, sampling CsPbBrBrI_THTO_0. Recommendation = FAPbIII_THTO_0, Current Cost = 184.00, Rho = 0.656
(iter 28) FAPbIII_THTO_0 = 11.2683, sampling MAPbBrClI_THTO_0. Recommendation = FAPbIII_THTO_0, Current Cost = 190.00, Rho = 0.656
(iter 28) FAPbIII_THTO_0 = 11.2683, sampling MAPbClClI_THTO_0. Recommendation = FAPbIII_THTO_0, Current Cost = 196.00, Rho = 0.656
(iter 28) FAPbIII_THTO_0 = 11.2683, sampling FAPbBrClI_THTO_0. Recommendation = FAPbIII_THTO_0, Current Cost = 202.00, Rho = 0.656
(iter 28) FAPbIII_THTO_0 = 11.2683, sampling FAPbClClI_THTO_0. Recommendation = FAPbIII_THTO_0, Current Cost = 208.00, Rho = 0.656
(iter 28) FAPbIII_THTO_0 = 11.2683, sampling CsPbBrClI_THTO_0. Recommendation = FAPbIII_THTO_0, Current Cost = 214.00, Rho = 0.656
(iter 28) FAPbIII_THTO_0 = 11.2683, sampling CsPbClClI_THTO_0. Recommendation = FAPbIII_THTO_0, Current Cost = 220.00, Rho = 0.656
(iter 28) FAPbIII_THTO_0 = 11.2683, sampling MAPbBrBrCl_THTO_0. Recommendation = FAPbIII_THTO_0, Current Cost = 226.00, Rho = 0.656
(iter 28) FAPbIII_THTO_0 = 11.2683, sampling MAPbBrClCl_THTO_0. Recommendation = FAPbIII_THTO_0, Current Cost = 232.00, Rho = 0.656
(iter 28) FAPbIII_THTO_0 = 11.2683, sampling MAPbClClCl_THTO_0. Recommendation = FAPbIII_THTO_0, Current Cost = 238.00, Rho = 0.656
(iter 48) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbBrBrCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 244.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClCl_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 250.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClCl_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 256.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrCl_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 262.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClCl_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 268.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClCl_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 274.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 280.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrI_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 286.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrI_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 292.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 298.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 304.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 310.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 316.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClI_ACE_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 322.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrBr_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 328.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 334.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 340.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 346.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrI_DMA_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 352.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 353.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClI_GBL_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 359.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrI_DMSO_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 360.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 361.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrI_CH3OH_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 367.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 368.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClCl_DMSO_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 374.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 375.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrCl_DMSO_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 381.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 382.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClI_DMSO_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 388.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 389.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClI_DMSO_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 395.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 396.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_FAM_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 402.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrBr_DMSO_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 403.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrBr_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 404.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrII_DMSO_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 410.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 411.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_GBL_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 417.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClII_DMSO_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 418.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 419.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClCl_DMSO_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 425.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 426.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClCl_DMSO_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 432.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 433.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrCl_DMSO_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 439.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 440.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_PYR_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 446.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrBr_DMSO_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 447.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrBr_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 448.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClI_DMSO_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 454.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 455.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClI_DMSO_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 461.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 462.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrI_DMSO_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 468.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 469.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrII_DMSO_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 475.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 476.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClII_DMSO_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 482.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 483.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_DMA_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 489.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_DMA_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 490.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_ACE_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 491.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_DMA_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 492.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_PYR_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 493.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrBr_DMA_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 494.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_GBL_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 495.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClI_DMA_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 496.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClI_DMA_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 497.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_FAM_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 498.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 499.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrBr_PYR_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 505.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbIII_DMSO_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 506.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbIII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 507.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrII_DMA_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 513.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrII_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 514.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrI_PYR_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 520.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_NMP_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 521.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_CH3OH_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 522.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClI_DMA_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 523.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 524.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClII_DMA_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 530.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClII_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 531.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClI_DMA_1. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 537.00, Rho = 0.656
(iter 49) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 538.00, Rho = 0.656
(iter 133) CsPbBrClI_DMA_0 = 12.9686, sampling CsPbClClI_DMA_0. Recommendation = CsPbBrClI_DMA_0, Current Cost = 544.00, Rho = 0.656
