(iter 20) CsPbIII_THTO_0 = 10.0230, sampling MAPbIII_DMSO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 70.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 424.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 430.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbIII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 436.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 442.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 448.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 454.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 460.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 466.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 472.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrBr_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 478.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrBr_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 484.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 490.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 496.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 502.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 508.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrI_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 514.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClII_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 520.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 526.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 532.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 538.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClI_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 544.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 550.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClII_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 556.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbIII_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 562.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 568.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrII_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 574.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 580.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 586.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClI_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 592.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrI_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 598.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrBr_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 604.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClII_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 610.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_H2O_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 616.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbIII_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 622.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_H2O_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 628.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_CH3OH_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 634.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_DMF_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 640.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_DMF_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 646.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_DMF_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 652.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClI_DMF_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 658.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbIII_DMF_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 664.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClII_DMF_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 670.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClI_DMF_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 676.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrII_DMF_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 682.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrBr_DMF_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 688.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 694.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 700.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 706.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 712.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 718.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrBr_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 724.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_H2O_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 730.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClI_H2O_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 736.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClCl_DMF_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 742.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrCl_DMF_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 748.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrII_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 754.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 760.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClCl_DMF_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 766.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 772.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbIII_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 778.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 784.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbIII_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 790.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClII_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 796.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_PYR_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 802.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrCl_DMF_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 808.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbIII_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 814.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrII_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 820.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClII_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 826.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClCl_DMF_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 832.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 838.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 844.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 850.00, Rho = 0.357
(iter 150) CsPbBrClI_DMA_0 = 12.9686, sampling FAPbBrClI_DMA_0. Recommendation = CsPbBrClI_DMA_0, Current Cost = 856.00, Rho = 0.357
