(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.0443, 0.5110]. Recommendation = [0.0, 0.0537, 0.2736], Current Cost = 5005.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.1617, 0.3954]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5033.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.4734, 0.6989]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5034.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.4508, 0.6298]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5035.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.3063, 0.2969]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5036.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.8279, 0.3796]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5037.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.3229, 0.2417]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5038.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.0777, 0.5957]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5039.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.1739, 0.9955]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5040.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.3381, 0.4397]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5041.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -1.1797, 1.0637]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5042.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.3535, 0.6139]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5043.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.9557, 1.6357]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5044.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.7175, 0.6178]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5045.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.2278, 0.3475]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5046.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.4258, 0.2895]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5047.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.0692, -0.1560]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5048.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.3816, -0.0098]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5049.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.3251, 0.8319]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5050.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.7958, 1.0400]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5051.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.5582, 0.6744]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5052.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.2268, 0.8211]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5053.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -1.3486, 1.6508]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5054.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -1.2324, 1.6804]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5055.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.3478, 0.7007]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5056.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.1549, 0.8274]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5057.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.6061, 0.7617]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5058.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.4035, 0.5489]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5059.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -1.1827, 1.5284]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5060.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.1091, 1.0510]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5061.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.1438, -0.1424]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5062.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.1141, 0.7142]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5063.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.3589, 0.1195]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5064.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.2189, 0.3864]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5065.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.0191, 0.5314]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5066.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -1.0102, 1.4359]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5067.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.5073, 0.4045]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5068.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.5812, 0.5571]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5069.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.7555, -0.0727]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5070.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -1.0761, 1.8363]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5071.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -1.1150, 0.6627]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5072.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.2158, 0.6201]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5073.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.3121, 0.6361]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5074.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.6437, 1.0747]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5075.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.4403, 0.2037]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5076.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -1.0127, 1.1108]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5077.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -1.2623, 1.5518]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5078.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.2942, -0.0540]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5079.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.7860, 1.4904]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5080.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -1.1597, 1.3621]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5081.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.6994, 0.3209]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5082.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -1.3056, 1.7906]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5083.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.4223, 1.0292]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5084.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.2970, 0.0283]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5085.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.0061, 0.7787]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5086.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.5144, 0.3615]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5087.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.4296, -0.1641]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5088.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.6655, 0.9461]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5089.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -1.5111, 1.4448]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5090.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.6823, 0.6327]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5091.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.2778, 0.7100]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5092.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.7457, 1.2874]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5093.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.0914, 1.3412]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5094.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.8747, 0.6514]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5095.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.6887, 0.8026]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5096.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.3891, 1.1280]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5097.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.0757, 0.8792]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5098.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.3740, 0.8931]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5099.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.9847, 0.8738]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5100.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.5607, 0.4908]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5101.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.5551, 0.9072]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5102.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.9915, 1.2565]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5103.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.0140, -0.1637]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5104.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.3172, -0.0586]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5105.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.4848, 0.6670]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5106.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.2642, 0.7693]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5107.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.5993, 0.0667]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5108.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.2351, 0.9118]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5109.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.9826, 0.1442]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5110.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.6389, 1.7743]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5111.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -1.1634, 1.4399]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5112.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.8382, 1.1207]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5113.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -1.2850, 1.1862]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5114.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.9786, 1.5399]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5115.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.7368, 0.7552]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5116.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.4389, 0.5682]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5117.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.4134, 0.1832]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5118.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.0640, 0.9495]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5119.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.2125, -0.1462]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5120.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -1.3239, 1.4960]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5121.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.7657, 0.9743]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5122.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.5678, 0.7289]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5123.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.9068, 1.2132]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5124.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -1.4601, 1.9296]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5125.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -1.4867, 1.6771]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5126.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -1.4594, 0.9169]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5127.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.6170, 1.1940]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5128.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.1964, 0.8579]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5129.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.1251, -0.2359]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5130.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.2950, -0.2756]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5131.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.1760, 0.6906]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5132.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -1.0041, 1.3245]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5133.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.7707, 0.8125]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5134.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.2863, 1.0432]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5135.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.2380, 1.3030]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5136.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.9443, 0.5543]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5137.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.5930, 1.0825]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5138.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.4711, -0.0892]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5139.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.5122, 0.2854]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5140.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.0273, -0.2429]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5141.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.0297, 1.0781]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5142.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.8587, 1.3687]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5143.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.5606, 0.7822]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5144.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.8043, 0.2533]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5145.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.5199, 0.0841]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5146.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.2771, 1.1031]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5147.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.4898, 1.1168]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5148.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.6294, -0.3606]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5149.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -1.0934, 0.8609]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5150.00, Rho = 0.268
