(iter 5) [0.0, -0.8923, 0.3832] = 435.6637, sampling [0.0, -0.2024, -0.0155]. Recommendation = [0.0, -0.8923, 0.3832], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.2024, -0.0155] = 454.5357, sampling [0.0, -0.3481, 0.2570]. Recommendation = [0.0, -0.1988, 0.0892], Current Cost = 16000.00, Rho = -1.230
(iter 5) [0.0, -0.2024, -0.0155] = 454.5357, sampling [0.0, -0.0129, -0.3923]. Recommendation = [0.0, -0.1988, 0.0892], Current Cost = 17000.00, Rho = -1.230
(iter 5) [0.0, -0.2024, -0.0155] = 454.5357, sampling [0.0, 0.3343, 0.2000]. Recommendation = [0.0, -0.1988, 0.0892], Current Cost = 18000.00, Rho = -1.230
(iter 18) [0.0, 0.3343, 0.2000] = 455.0782, sampling [0.0, 0.2385, 0.0207]. Recommendation = [0.0, 0.0178, 0.1061], Current Cost = 19000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, 0.0607, 0.6925]. Recommendation = [0.0, -0.0692, 0.0479], Current Cost = 20000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, -0.6524, 0.5490]. Recommendation = [0.0, -0.0065, -0.0385], Current Cost = 21000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, -0.8175, -0.2372]. Recommendation = [0.0, -0.0065, -0.0385], Current Cost = 22000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, 0.0178, 0.1061]. Recommendation = [0.0, -0.0065, -0.0385], Current Cost = 23000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, 0.3030, -0.1507]. Recommendation = [0.0, -0.0065, -0.0385], Current Cost = 24000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, -1.0952, 1.2823]. Recommendation = [0.0, -0.0065, -0.0385], Current Cost = 25000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, -0.4384, 0.8519]. Recommendation = [0.0, -0.0065, -0.0385], Current Cost = 26000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, 0.2209, 0.3762]. Recommendation = [0.0, -0.0065, -0.0385], Current Cost = 27000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, -0.3283, 0.0855]. Recommendation = [0.0, -0.0065, -0.0385], Current Cost = 28000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, -0.9389, 1.6000]. Recommendation = [0.0, -0.0065, -0.0385], Current Cost = 29000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, -0.8456, 0.5911]. Recommendation = [0.0, -0.0065, -0.0385], Current Cost = 30000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, -0.9472, 1.1454]. Recommendation = [0.0, -0.0065, -0.0385], Current Cost = 31000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, -0.7100, 0.1242]. Recommendation = [0.0, -0.0065, -0.0385], Current Cost = 32000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, -1.2812, 1.2378]. Recommendation = [0.0, -0.0065, -0.0385], Current Cost = 33000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, 0.4625, -0.0252]. Recommendation = [0.0, -0.0065, -0.0385], Current Cost = 34000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, -0.1917, 0.3204]. Recommendation = [0.0, -0.0065, -0.0385], Current Cost = 35000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, -0.3250, -0.0943]. Recommendation = [0.0, -0.0065, -0.0385], Current Cost = 36000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, 0.1790, -0.3826]. Recommendation = [0.0, -0.0065, -0.0385], Current Cost = 37000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, -0.0365, -0.0814]. Recommendation = [0.0, 0.2385, 0.0207], Current Cost = 38000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, 0.5456, 0.4078]. Recommendation = [0.0, 0.2385, 0.0207], Current Cost = 39000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, 0.3947, 0.5471]. Recommendation = [0.0, 0.2385, 0.0207], Current Cost = 40000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, 0.5605, 0.1449]. Recommendation = [0.0, 0.2385, 0.0207], Current Cost = 41000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, 0.4776, 0.3084]. Recommendation = [0.0, 0.4776, 0.3084], Current Cost = 42000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, 0.2108, 1.1749]. Recommendation = [0.0, 0.2385, 0.0207], Current Cost = 43000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, -1.1611, 1.0173]. Recommendation = [0.0, 0.2385, 0.0207], Current Cost = 44000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, -0.4599, 0.1344]. Recommendation = [0.0, 0.2385, 0.0207], Current Cost = 45000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, -0.2308, 0.1659]. Recommendation = [0.0, 0.2385, 0.0207], Current Cost = 46000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, -0.4143, -0.4565]. Recommendation = [0.0, 0.2385, 0.0207], Current Cost = 47000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, -0.7456, 0.9296]. Recommendation = [0.0, 0.2385, 0.0207], Current Cost = 48000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, -0.5602, 0.4291]. Recommendation = [0.0, 0.2385, 0.0207], Current Cost = 49000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, 0.3550, 0.3416]. Recommendation = [0.0, 0.2385, 0.0207], Current Cost = 50000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, 0.6954, 0.6650]. Recommendation = [0.0, 0.2385, 0.0207], Current Cost = 51000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, 0.7340, 0.3953]. Recommendation = [0.0, 0.2385, 0.0207], Current Cost = 52000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, 0.5835, 0.5595]. Recommendation = [0.0, 0.2385, 0.0207], Current Cost = 53000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, 0.5175, 0.7742]. Recommendation = [0.0, 0.2385, 0.0207], Current Cost = 54000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, 0.8832, 0.5848]. Recommendation = [0.0, 0.2385, 0.0207], Current Cost = 55000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, 0.8592, 0.8642]. Recommendation = [0.0, 0.7183, 0.5727], Current Cost = 56000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, 1.0727, 0.7704]. Recommendation = [0.0, 0.7183, 0.5727], Current Cost = 57000.00, Rho = -1.230
(iter 19) [0.0, 0.2385, 0.0207] = 455.5890, sampling [0.0, 0.8897, 0.7527]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 58000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 0.8475, 0.1972]. Recommendation = [0.0, 0.7761, 0.6629], Current Cost = 59000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 0.9456, 1.2162]. Recommendation = [0.0, 0.7761, 0.6629], Current Cost = 60000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 0.7039, 1.0544]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 61000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 1.0606, 0.9719]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 62000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 1.3188, 1.1799]. Recommendation = [0.0, 0.9068, 0.8140], Current Cost = 63000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 1.0841, 1.5024]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 64000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 0.7148, 1.6744]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 65000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 1.0135, 1.0947]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 66000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 1.0433, 0.4879]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 67000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 1.4093, 1.5072]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 68000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 1.4421, 0.8307]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 69000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 1.2007, 1.2037]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 70000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 1.0174, 1.3869]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 71000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, -0.4987, -0.1593]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 72000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, -1.2403, 0.1693]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 73000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, -0.1169, -0.5520]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 74000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 1.2516, 1.7569]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 75000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 1.2631, 1.5498]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 76000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 1.5702, 1.7981]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 77000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 1.3418, 1.9898]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 78000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 1.1236, 1.9716]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 79000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, -0.4337, 1.8205]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 80000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, -1.0827, 1.4359]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 81000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 0.7183, 0.5727]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 82000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, -0.0692, 0.0479]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 83000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 1.1021, 1.6862]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 84000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 0.6539, 0.0646]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 85000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 0.0514, 0.2237]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 86000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, -0.2342, 0.6083]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 87000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, -0.5929, 0.6239]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 88000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 1.4473, 1.7043]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 89000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 0.9013, 1.1032]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 90000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 1.3443, 1.3415]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 91000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, -0.9207, 1.3798]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 92000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 0.7457, 0.9160]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 93000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 0.1838, 0.5363]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 94000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, -1.5346, 1.1335]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 95000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, -1.0404, 0.6343]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 96000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 1.4238, 1.9156]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 97000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, -1.2494, 1.3659]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 98000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, -1.2754, 1.5900]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 99000.00, Rho = -1.230
(iter 58) [0.0, 0.8897, 0.7527] = 456.1369, sampling [0.0, 0.5419, -0.1093]. Recommendation = [0.0, 0.8897, 0.7527], Current Cost = 100000.00, Rho = -1.230
