(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.0284, 0.5799]. Recommendation = [0.0, -0.2191, 0.5326], Current Cost = 5005.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.3682, 0.0948]. Recommendation = [0.0, -0.1409, -0.0248], Current Cost = 5019.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.2652, 0.3958]. Recommendation = [0.0, -0.1409, -0.0248], Current Cost = 5020.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.1070, 0.2870]. Recommendation = [0.0, -0.1409, -0.0248], Current Cost = 5021.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.6533, 0.2630]. Recommendation = [0.0, -0.1409, -0.0248], Current Cost = 5022.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.2110, 0.2239]. Recommendation = [0.0, -0.1409, -0.0248], Current Cost = 5023.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.6406, 0.6367]. Recommendation = [0.0, -0.1409, -0.0248], Current Cost = 5024.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.1781, -0.0174]. Recommendation = [0.0, -0.1409, -0.0248], Current Cost = 5025.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.5124, 0.5569]. Recommendation = [0.0, 0.1781, -0.0174], Current Cost = 5026.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.4235, 0.2776]. Recommendation = [0.0, 0.1781, -0.0174], Current Cost = 5027.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.4141, 0.4348]. Recommendation = [0.0, 0.1781, -0.0174], Current Cost = 5028.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.3782, 0.6894]. Recommendation = [0.0, 0.1781, -0.0174], Current Cost = 5029.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.0539, 1.1067]. Recommendation = [0.0, 0.1781, -0.0174], Current Cost = 5030.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.8593, 0.8133]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5031.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.0320, 0.9051]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5032.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.2333, 1.2075]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5033.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.7896, 0.5643]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5034.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.6906, 0.7527]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5035.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.9865, 0.6863]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5036.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.6041, 0.3727]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5037.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.2042, 0.9174]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5038.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.9741, 1.2573]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5039.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.7948, 1.0094]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5040.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.6352, 0.6021]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5041.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.9038, 0.9107]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5042.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.1310, 1.4640]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5043.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.9981, 1.0439]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5044.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.0717, 1.2402]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5045.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.5477, 0.4406]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5046.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.3264, 1.3171]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5047.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.9357, 0.7859]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5048.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.8195, 0.4746]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5049.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.1400, 1.1287]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5050.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.6121, 0.2707]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5051.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.3827, 0.2334]. Recommendation = [0.0, 0.5645, 0.3213], Current Cost = 5052.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.2266, 1.4704]. Recommendation = [0.0, 0.5645, 0.3213], Current Cost = 5053.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.0013, 1.4743]. Recommendation = [0.0, 0.5645, 0.3213], Current Cost = 5054.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.5645, 0.3213]. Recommendation = [0.0, 0.5645, 0.3213], Current Cost = 5055.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.6612, 0.3362]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5056.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.5822, 0.1561]. Recommendation = [0.0, 0.5898, 0.3312], Current Cost = 5057.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.3117, -0.0293]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5058.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.4309, -0.0013]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5059.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.1311, -0.0822]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5060.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.9622, 0.5988]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5061.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.0851, 1.1640]. Recommendation = [0.0, 1.0539, 1.1067], Current Cost = 5062.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.5994, 0.5443]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5063.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.0599, 0.8102]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5064.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.5316, 0.3807]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5065.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.5217, 0.0468]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5066.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.0324, 0.4058]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5067.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.2191, 0.5326]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5068.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.6571, 0.6715]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5069.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.1221, 1.6470]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5070.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.0256, 0.9465]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5071.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.5485, 0.0904]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5072.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.5354, 0.4388]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5073.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.8246, 0.5703]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5074.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.3410, 0.0087]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5075.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.2416, -0.0614]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5076.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.7407, 0.3014]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5077.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.6897, 0.8574]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5078.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.8494, 0.6596]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5079.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.7967, 0.7434]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5080.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.3838, 1.0060]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5081.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.8447, 0.3647]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5082.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.2423, 0.3335]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5083.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.8862, 0.2546]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5084.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.7612, 0.9368]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5085.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.1831, 0.5727]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5086.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.3614, 0.4005]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5087.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.9461, 0.7198]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5088.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.8337, 0.8202]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5089.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.2442, 1.0513]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5090.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.9401, 0.9881]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5091.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.7889, 0.9320]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5092.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -1.1272, 0.8909]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5093.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.9862, 0.7796]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5094.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -1.0951, 0.6607]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5095.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.8648, 1.1525]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5096.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -1.0146, 1.0026]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5097.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -1.0627, 1.1102]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5098.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -1.0366, 1.2287]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5099.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.8959, 1.3870]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5100.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -1.2652, 1.2158]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5101.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -1.0771, 1.3052]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5102.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.8005, 1.3252]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5103.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.6386, 0.1159]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5104.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.1910, -0.0559]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5105.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.3462, 0.4930]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5106.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -1.1881, 1.3480]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5107.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.2831, 1.7642]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5108.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.0400, 1.9589]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5109.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -1.1991, 1.5782]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5110.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -1.0257, 1.6910]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5111.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -1.3853, 1.4475]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5112.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -1.3026, 1.0905]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5113.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.8186, 0.7010]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5114.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.8343, 0.5130]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5115.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.2014, -0.1306]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5116.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.0536, -0.1733]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5117.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.2942, -0.0712]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5118.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.5162, 0.0351]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5119.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.1714, -0.1683]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5120.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.3018, -0.1554]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5121.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.1089, 1.5045]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5122.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.4470, -0.0900]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5123.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.4584, 1.6673]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5124.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.2015, 0.6277]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5125.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -1.2349, 1.3031]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5126.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.5341, 0.9007]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5127.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.3465, -0.0350]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5128.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.3203, 0.4551]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5129.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.9591, 0.4095]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5130.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.8259, 1.0673]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5131.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.3929, 1.4083]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5132.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.5898, 0.3312]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5133.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.9765, 1.3758]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5134.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.7794, 0.1218]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5135.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.1448, 1.0976]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5136.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.4913, -0.0734]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5137.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.6872, 0.6350]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5138.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.5213, 0.7574]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5139.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.3451, 1.8785]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5140.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.5186, 1.8232]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5141.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.2505, 1.9126]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5142.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.2700, 1.7808]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5143.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -1.2808, 1.6964]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5144.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -1.3747, 1.5973]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5145.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -1.1743, 1.6617]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5146.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -1.4629, 1.7384]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5147.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -1.2524, 1.8583]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5148.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 1.1191, 1.1424]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5149.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.9198, 1.1853]. Recommendation = [0.0, 1.0851, 1.1640], Current Cost = 5150.00, Rho = 0.606
