(iter 5) [0.0, -0.1821, -0.4954] = 426.9681, sampling [0.0, 0.2132, -0.1344]. Recommendation = [0.0, -0.1821, -0.4954], Current Cost = 5000.00, Rho = -1.230
(iter 13) [0.0, 0.2919, 0.0695] = 455.7739, sampling [0.0, -0.4532, 0.3423]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 23000.00, Rho = -1.230
(iter 13) [0.0, 0.2919, 0.0695] = 455.7739, sampling [0.0, 0.8612, 0.3185]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 24000.00, Rho = -1.230
(iter 13) [0.0, 0.2919, 0.0695] = 455.7739, sampling [0.0, 0.8683, 0.6455]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 25000.00, Rho = -1.230
(iter 13) [0.0, 0.2919, 0.0695] = 455.7739, sampling [0.0, 1.0782, 1.8388]. Recommendation = [0.0, 0.7019, 0.6089], Current Cost = 26000.00, Rho = -1.230
(iter 13) [0.0, 0.2919, 0.0695] = 455.7739, sampling [0.0, 1.0511, 1.2463]. Recommendation = [0.0, 0.7019, 0.6089], Current Cost = 27000.00, Rho = -1.230
(iter 13) [0.0, 0.2919, 0.0695] = 455.7739, sampling [0.0, 1.5376, 1.5981]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 28000.00, Rho = -1.230
(iter 13) [0.0, 0.2919, 0.0695] = 455.7739, sampling [0.0, 1.0200, 1.5215]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 29000.00, Rho = -1.230
(iter 13) [0.0, 0.2919, 0.0695] = 455.7739, sampling [0.0, 0.5783, 1.9486]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 30000.00, Rho = -1.230
(iter 13) [0.0, 0.2919, 0.0695] = 455.7739, sampling [0.0, 1.6449, 1.9787]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 31000.00, Rho = -1.230
(iter 13) [0.0, 0.2919, 0.0695] = 455.7739, sampling [0.0, 0.9793, 0.9421]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 32000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 1.2873, 1.4628]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 33000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 1.9979, 1.6977]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 34000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 1.3453, 1.7700]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 35000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 0.7853, 1.2023]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 36000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -0.2074, 0.1845]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 37000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 0.7735, -0.9409]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 38000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -0.2611, -0.1527]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 39000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -0.7995, 0.7225]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 40000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -0.5242, 0.5387]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 41000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -0.9354, 1.0713]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 42000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -0.6654, 0.9619]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 43000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -1.2925, 1.5197]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 44000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -1.3442, 1.0385]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 45000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -1.0011, 1.3756]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 46000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -1.7183, 1.8103]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 47000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -1.1349, 1.9803]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 48000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -0.8335, 0.4045]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 49000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -1.0878, 0.6972]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 50000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -0.5529, 0.0727]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 51000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -1.0976, 1.7141]. Recommendation = [0.0, 0.7959, 0.6855], Current Cost = 52000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -1.6285, 1.3822]. Recommendation = [0.0, 0.7959, 0.6855], Current Cost = 53000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 0.3490, 0.4831]. Recommendation = [0.0, 0.7959, 0.6855], Current Cost = 54000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -1.1206, 1.1989]. Recommendation = [0.0, 0.7959, 0.6855], Current Cost = 55000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 0.3703, -0.2446]. Recommendation = [0.0, 0.7959, 0.6855], Current Cost = 56000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 1.2888, 1.1665]. Recommendation = [0.0, 0.7959, 0.6855], Current Cost = 57000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -0.6915, 0.2641]. Recommendation = [0.0, 0.7959, 0.6855], Current Cost = 58000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 0.7172, 0.2027]. Recommendation = [0.0, -0.4833, 0.1934], Current Cost = 59000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -0.9918, 0.8368]. Recommendation = [0.0, -0.4833, 0.1934], Current Cost = 60000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 0.7019, 0.6089]. Recommendation = [0.0, -0.4833, 0.1934], Current Cost = 61000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -0.6877, 0.4877]. Recommendation = [0.0, -0.4833, 0.1934], Current Cost = 62000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 0.6946, -0.3496]. Recommendation = [0.0, -0.4833, 0.1934], Current Cost = 63000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -0.8375, 1.2756]. Recommendation = [0.0, -0.4833, 0.1934], Current Cost = 64000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 0.1415, -0.6447]. Recommendation = [0.0, -0.4833, 0.1934], Current Cost = 65000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 0.2017, -0.4212]. Recommendation = [0.0, -0.4833, 0.1934], Current Cost = 66000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 0.6230, 1.0176]. Recommendation = [0.0, -0.4833, 0.1934], Current Cost = 67000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -1.3121, 1.7566]. Recommendation = [0.0, -0.4833, 0.1934], Current Cost = 68000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 0.4453, 0.3241]. Recommendation = [0.0, -0.4833, 0.1934], Current Cost = 69000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 1.1711, 1.5851]. Recommendation = [0.0, -0.4833, 0.1934], Current Cost = 70000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 1.4682, 1.9896]. Recommendation = [0.0, -0.4833, 0.1934], Current Cost = 71000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 0.0792, 0.0130]. Recommendation = [0.0, -0.4833, 0.1934], Current Cost = 72000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -0.3677, 0.5611]. Recommendation = [0.0, -0.4833, 0.1934], Current Cost = 73000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -0.2515, 0.0569]. Recommendation = [0.0, -0.4833, 0.1934], Current Cost = 74000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -0.5935, 0.7686]. Recommendation = [0.0, -0.4833, 0.1934], Current Cost = 75000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 1.0927, 0.7602]. Recommendation = [0.0, -0.4833, 0.1934], Current Cost = 76000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 0.1004, 0.5087]. Recommendation = [0.0, -0.4833, 0.1934], Current Cost = 77000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -0.8662, 1.6641]. Recommendation = [0.0, -0.4833, 0.1934], Current Cost = 78000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -1.1968, 1.3463]. Recommendation = [0.0, -0.4833, 0.1934], Current Cost = 79000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -0.4833, 0.1934]. Recommendation = [0.0, -0.4833, 0.1934], Current Cost = 80000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -1.1155, 0.9525]. Recommendation = [0.0, 0.8939, 0.8081], Current Cost = 81000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -0.1380, -0.3035]. Recommendation = [0.0, 0.8939, 0.8081], Current Cost = 82000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 1.3202, 1.9041]. Recommendation = [0.0, 0.8939, 0.8081], Current Cost = 83000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 1.0552, 1.0343]. Recommendation = [0.0, 0.8939, 0.8081], Current Cost = 84000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -0.9390, 0.5507]. Recommendation = [0.0, 0.8939, 0.8081], Current Cost = 85000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 0.1576, 0.1630]. Recommendation = [0.0, 0.8939, 0.8081], Current Cost = 86000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, -0.5240, -0.1694]. Recommendation = [0.0, 0.8939, 0.8081], Current Cost = 87000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 0.7342, -0.0021]. Recommendation = [0.0, 0.8939, 0.8081], Current Cost = 88000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 1.9712, -1.4526]. Recommendation = [0.0, 0.8939, 0.8081], Current Cost = 89000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 0.0337, -0.1725]. Recommendation = [0.0, 0.8939, 0.8081], Current Cost = 90000.00, Rho = -1.230
(iter 32) [0.0, 0.9793, 0.9421] = 456.2712, sampling [0.0, 0.8939, 0.8081]. Recommendation = [0.0, 0.8939, 0.8081], Current Cost = 91000.00, Rho = -1.230
(iter 91) [0.0, 0.8939, 0.8081] = 456.2805, sampling [0.0, -1.4471, 0.5885]. Recommendation = [0.0, 0.7959, 0.6855], Current Cost = 92000.00, Rho = -1.230
(iter 91) [0.0, 0.8939, 0.8081] = 456.2805, sampling [0.0, 0.3841, -0.0667]. Recommendation = [0.0, 0.7959, 0.6855], Current Cost = 93000.00, Rho = -1.230
(iter 91) [0.0, 0.8939, 0.8081] = 456.2805, sampling [0.0, 0.9167, 1.1107]. Recommendation = [0.0, 0.7959, 0.6855], Current Cost = 94000.00, Rho = -1.230
(iter 91) [0.0, 0.8939, 0.8081] = 456.2805, sampling [0.0, -1.3412, 1.9438]. Recommendation = [0.0, 0.7959, 0.6855], Current Cost = 95000.00, Rho = -1.230
(iter 91) [0.0, 0.8939, 0.8081] = 456.2805, sampling [0.0, 0.0463, 0.3077]. Recommendation = [0.0, 0.7959, 0.6855], Current Cost = 96000.00, Rho = -1.230
(iter 91) [0.0, 0.8939, 0.8081] = 456.2805, sampling [0.0, 0.3429, 0.1914]. Recommendation = [0.0, 0.7959, 0.6855], Current Cost = 97000.00, Rho = -1.230
(iter 91) [0.0, 0.8939, 0.8081] = 456.2805, sampling [0.0, -0.3017, 0.3504]. Recommendation = [0.0, 0.7959, 0.6855], Current Cost = 98000.00, Rho = -1.230
(iter 91) [0.0, 0.8939, 0.8081] = 456.2805, sampling [0.0, -0.8747, 0.8739]. Recommendation = [0.0, 0.7959, 0.6855], Current Cost = 99000.00, Rho = -1.230
(iter 91) [0.0, 0.8939, 0.8081] = 456.2805, sampling [0.0, 1.0635, 0.4236]. Recommendation = [0.0, 0.7959, 0.6855], Current Cost = 100000.00, Rho = -1.230
