(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.3333, 0.4732]. Recommendation = [0.0, -0.0606, -0.1259], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.0752, 0.0214]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -1.3044, 1.6848]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -1.2907, 1.4363]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -1.0654, 1.6572]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.3884, 0.0352]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.5152, 0.1561]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.0435, 0.6079]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.4003, -0.0438]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.1539, 0.2598]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.0027, -0.0639]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.7952, 0.8604]. Recommendation = [0.0, -0.0752, 0.0214], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.5983, 0.7046]. Recommendation = [0.0, -0.0752, 0.0214], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.4481, 0.6256]. Recommendation = [0.0, -0.0752, 0.0214], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.2310, 0.3810]. Recommendation = [0.0, -0.0752, 0.0214], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.1683, 0.7709]. Recommendation = [0.0, -0.0752, 0.0214], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.8131, 0.5599]. Recommendation = [0.0, -0.0752, 0.0214], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 1.0283, 1.3003]. Recommendation = [0.0, -0.0752, 0.0214], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.6614, 1.5817]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5067.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 1.0949, 0.9445]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5068.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.6718, 0.2879]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5069.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.7406, 1.1970]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5070.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -1.1419, 1.0521]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5071.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.2914, -0.0397]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5072.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.6424, 0.9795]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5073.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.3916, -0.3937]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5074.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.1245, -0.1489]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5075.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.0264, 0.4491]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5076.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.9363, 1.0186]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5077.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.0775, 0.1712]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5078.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.9899, 0.8966]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5079.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.3733, 0.5022]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5080.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.3825, -0.2527]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5081.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 1.4590, 1.5436]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5082.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 1.5045, 0.9439]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5083.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 1.0356, 1.9615]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5084.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.6091, -0.0245]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5085.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.5090, 0.2185]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5086.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.5397, 0.4538]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5087.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.2017, -0.5194]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5088.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 1.0767, 1.5783]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5089.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.2757, 0.2652]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5090.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.8780, 0.4865]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5091.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -1.1240, 1.5382]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5092.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.1830, 0.1641]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5093.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.5201, 0.7270]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5094.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -1.1816, 1.8739]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5095.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.2129, -0.2850]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5096.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.2726, 0.6101]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5097.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.5500, -0.3201]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5098.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.8180, 1.0793]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5099.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.8594, 1.4742]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5100.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.3125, 0.9738]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5101.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -1.4985, 1.4451]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5102.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 1.0453, 0.4922]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5103.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.9443, 0.8190]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5104.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.7284, 0.7198]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5105.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.3115, 0.0386]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5106.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.7377, 0.9801]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5107.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.4542, 0.1802]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5108.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -1.0271, 0.7457]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5109.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.4447, -0.0445]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5110.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.0759, -0.3712]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5111.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.2229, 0.6154]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5112.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.8753, 0.1035]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5113.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.9760, 1.2631]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5114.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 1.2645, 1.2918]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5115.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.9814, 1.0025]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5116.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -1.4856, 1.8875]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5117.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -1.3401, 1.8168]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5118.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.4809, 0.1102]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5119.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.1355, 0.0574]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5120.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.2001, 1.9888]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5121.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.3932, 0.5074]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5122.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.6873, 0.4718]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5123.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.8772, 0.2894]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5124.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.6373, 0.6506]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5125.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.5062, 0.9226]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5126.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 1.7721, 1.9792]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5127.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.0321, 0.1349]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5128.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.0958, -0.4302]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5129.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 1.0526, 1.1290]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5130.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.7810, 0.4466]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5131.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.0716, 0.6291]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5132.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -1.3587, 1.6061]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5133.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.8387, 0.3534]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5134.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.2271, 0.9037]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5135.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.6225, 0.3659]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5136.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.6647, 0.8081]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5137.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -1.1505, 0.5731]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5138.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.7792, 0.2233]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5139.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.6887, -0.3075]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5140.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -1.1368, 1.3893]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5141.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.2348, -0.0788]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5142.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.2646, -0.4644]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5143.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.0399, -0.5914]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5144.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.1834, 0.7338]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5145.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.4766, 0.1288]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5146.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.1976, 0.2692]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5147.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -1.0091, -0.5820]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5148.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.3447, 0.0721]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5149.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.9132, 0.6219]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5150.00, Rho = 1.000
